,short_name,station_id,name,capacity,lat,lon,rental_uris.ios,rental_uris.android,region_id,date
855,5354.01,467e1de6-73a6-480f-9e83-fd1b03b71047,Morgan Ave & Maspeth Ave,25,40.716657,-73.93637,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
856,7003.06,4d4a3e7b-1005-4bfd-8680-340a20cacbee,Vernon Blvd & 31 Ave,23,40.7692475,-73.9354504,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
857,4184.07,66de2771-0aca-11e7-82f6-3863bb44ef7c,Carroll St & Bond St,25,40.6786115,-73.99037292,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
858,4169.04,66de1368-0aca-11e7-82f6-3863bb44ef7c,Pioneer St & Van Brunt St,39,40.679043,-74.011169,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
859,2932.03,d946ce73-5487-4ab7-b429-cf873e9af5b5,Wakeman Pl & Ridge Blvd,19,40.639421,-74.026823,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
860,5270.09,99142ec8-c0e7-47ca-916c-c1097d48e133,Market St & Henry St,42,40.71310702305908,-73.99446353316307,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
861,7937.15,2cd651e7-1e3a-4cd9-8fd1-a2416e032f6e,St Nicholas Terrace & Convent Ave,24,40.821294,-73.947868,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
862,7453.01,a93cb1ec-fb37-4faf-a7e7-d1e5a9e9af95,Central Park W & W 91 St,48,40.788664991278836,-73.96680057048798,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
863,4290.06,66de59bd-0aca-11e7-82f6-3863bb44ef7c,Wyckoff St & 3 Ave,22,40.6827549,-73.98258555,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
864,4301.04,01b7973e-c92e-4fbe-890e-2c24de33ce0e,Macon St & Patchen Ave,19,40.68374,-73.9261,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
865,5887.03,1848241425697670086,Queens Blvd & 56 Ave,38,40.73481,-73.87431,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
866,7382.04,66dd4f31-0aca-11e7-82f6-3863bb44ef7c,W 84 St & Columbus Ave,35,40.78499979,-73.97283406,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
867,6602.03,66dc3f08-0aca-11e7-82f6-3863bb44ef7c,W 41 St & 8 Ave,103,40.75640548,-73.9900262,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
868,7905.05,81a34754-ae08-47a6-964d-4733849a8fab,Garrison Ave & Manida St,30,40.818743,-73.890247,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
869,7311.02,66de1c33-0aca-11e7-82f6-3863bb44ef7c,Amsterdam Ave & W 79 St,48,40.7829391,-73.9786517,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
870,6723.10,2bf9addc-038b-48fe-8794-dde085c5e5dc,E 58 St & 1 Ave (NW Corner),50,40.759125,-73.962658,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
871,3751.05,c45aa693-fedd-478f-ade9-bf176c4e32ff,Crown St & Troy Ave,20,40.66559,-73.93712,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
872,5051.02,2868db5b-df51-4c36-8515-ef77a5b092c2,Irving Ave & Jefferson St,19,40.70538,-73.92535,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
